Title,Year,Male Authors,Female Authors,Unknown Gender Authors,First Author Female,Last Author Female,Total Authors
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
,,0,0,0,False,False,0
